name,num_kids,circuit,girls,progressive_vote,race,religion,republican,sons,woman,yearb
"Alarcon, Arthur L.",3,9,1,0,3,4,0,2,0,1925
"Aldisert, Ruggero",3,3,1,0.66666669,1,4,0,2,0,1919
"Aldrich, Bailey",2,1,0,0.33333334,1,1,1,2,0,1907
"Alito, Samuel A., Jr.",2,3,1,0.5,1,4,1,1,0,1950
"Anderson, Stephen H.",1,10,1,0.15384616,1,NA,1,0,0,1932
"Arnold, Morris S.",0,8,0,0.5151515,1,2,1,0,0,1941
"Arnold, Richard S.",2,8,2,0.44444445,1,2,0,0,0,1936
"Baldock, Bobby R.",2,10,0,0.2,1,3,1,2,0,1936
"Barkett, Rosemary",0,11,0,0.60000002,1,4,0,0,1,1939
"Barksdale, Rhesa H.",0,5,0,0.42857143,1,2,1,0,0,1944
"Barrett, James E.",3,10,1,0.33333334,1,4,1,2,0,1922
"Barry, Maryanne",1,3,0,0,1,5,0,1,1,1928
"Batchelder, Alice M.",2,6,1,0.17647059,1,2,1,1,1,1944
"Bauer, William J.",2,7,2,0.40000001,1,4,1,0,0,1926
"Becker, Edward R.",3,3,1,0.44444445,1,5,1,2,0,1933
"Beezer, Robert R.",3,9,1,0,1,4,1,2,0,1928
"Benavides, Fortunato Pedro",2,5,2,0.41666666,3,2,0,0,0,1947
"Berzon, Marsha",2,9,1,0.33333334,NA,NA,0,1,1,NA
"Birch, Stanley F., Jr.",1,11,1,0.54545456,1,2,1,0,0,1945
"Black, Susan H.",0,11,0,0.11111111,1,2,1,0,1,1943
"Boggs, Danny J.",3,6,2,0.21428572,1,5,1,1,0,1944
"Boudin, Michael",3,1,1,0.46666667,1,5,1,2,0,1939
"Bowman, Pasco M.",3,8,2,0.22727273,1,3,1,1,0,1933
"Bownes, Hugh",3,1,1,0.5714286,1,8,0,2,0,1920
"Bright, Myron",2,8,1,0.5,1,5,0,1,0,1919
"Briscoe, Mary",0,10,0,0.24242425,1,99,0,0,1,1947
"Brorby, Wade",2,10,0,0.29032257,1,7,1,2,0,1934
"Brown, Bailey",1,6,0,0,1,2,0,1,0,1917
"Brunetti, Melvin T.",2,9,1,0.60000002,1,NA,1,1,0,1933
"Bye, Kermit",3,8,2,0.41666666,NA,NA,0,1,0,NA
"Calabresi, Guido",3,2,2,0.55555558,1,4,0,1,0,1932
"Campbell, Levin H.",3,1,2,0.66666669,1,8,1,1,0,1927
"Canby, William C.",3,9,1,0.71428573,1,NA,0,2,0,1931
"Cardamone, Richard J.",0,2,0,0.71428573,1,4,1,0,0,1925
"Clark, Thomas A.",3,5,1,0,1,10,0,2,0,1920
"Clay, Eric",0,6,0,0.42857143,2,99,0,0,0,1951
"Coffey, John L.",2,7,1,0.28125,1,4,1,1,0,1922
"Cole, Ransey",3,6,1,0.5,NA,NA,0,2,0,NA
"Contie, Leroy J.",2,6,1,0.33333334,1,4,1,1,0,1926
"Cowen, Robert E.",2,3,2,0.5,1,5,1,0,0,1930
"Cox, Emmett R.",2,11,1,0.2857143,1,2,1,1,0,1935
"Cummings, Walter",3,7,0,0.36363637,1,4,0,3,0,1916
"Cyr, Conrad F.",2,1,0,0.69999999,1,4,1,2,0,1931
"Daughtrey, Martha Craig",1,6,1,0.375,1,2,0,0,1,1942
"DeMoss, Harold R., Jr.",2,5,1,0.5,1,2,1,1,0,1930
"Dennis, James",2,5,0,0.2857143,1,3,1,2,0,1924
"Dubina, Joel F.",3,11,1,0.80000001,1,7,1,2,0,1947
"Easterbrook, Frank H.",0,7,0,0.23684211,1,3,1,0,0,1948
"Edmondson, James L.",2,11,2,0.125,1,2,1,0,0,1947
"Edwards, Harry T.",2,12,1,0.625,2,8,0,1,0,1940
"Eschbach, Jesse E.",2,7,1,0.25,1,7,1,1,0,1920
"Evans, Terence",3,7,2,0.45454547,1,4,0,1,0,1940
"Farris, Joseph Jerome",2,9,2,0.33333334,2,8,0,0,0,1930
"Fay, Peter T.",2,5,0,0.5,1,4,1,2,0,1929
"Feinberg, Wilfred",3,2,2,1,1,5,0,1,0,1920
"Fisher, Raymond",2,9,1,0.66666669,NA,NA,0,1,0,NA
"Flaum, Joel M.",2,7,1,0.46875,1,5,1,1,0,1936
"Fletcher, William",0,9,0,1,1,99,0,0,0,1953
"Fuentes, Julio",3,3,3,0.33333334,NA,NA,0,0,0,NA
"Garland, Merrick",2,12,2,0.5,NA,NA,0,0,0,NA
"Garth, Leonard I.",1,3,1,0.5,1,5,1,0,0,1921
"Garwood, William L.",2,5,1,0.16666667,1,2,1,1,0,1931
"Garza, Emilio M.",0,5,0,0.375,3,4,1,0,0,1947
"Gibbons, Julia",2,6,1,0,NA,NA,1,1,1,NA
"Gilman, Ronald",2,6,2,0.36842105,NA,NA,0,0,0,NA
"Ginsburg, Douglas, H.",3,12,3,0.66666669,1,5,1,0,0,1946
"Gould, Ronald",2,9,1,0.80000001,NA,NA,0,1,0,NA
"Graber, Susan",1,9,1,0.42857143,NA,NA,0,0,1,NA
"Greenberg, Morton I.",3,3,2,0.38461539,1,5,1,1,0,1933
"Gregory, Roger",3,4,3,0.33333334,NA,NA,0,0,0,NA
"Hall, Cynthia H.",0,9,0,0.55555558,1,2,1,0,1,1929
"Hamilton, Clyde H.",2,4,0,0.55555558,1,10,1,2,0,1934
"Hartz, Harris",2,10,0,0,NA,NA,1,2,0,NA
"Hatchett, Joseph W.",2,5,2,0.5,2,3,0,0,0,1932
"Hawkins, Michael Daly",2,9,0,0.40000001,1,24,0,2,0,1945
"Heaney, Gerald",2,8,1,0.36000001,1,4,0,1,0,1918
"Henderson, Albert J.",2,5,1,1,1,3,0,1,0,1920
"Henderson, Karen LeCraft",0,12,0,0.40000001,1,4,1,0,1,1944
"Henley, Jesse Smith",3,8,3,0.25,1,7,1,0,0,1917
"Henry, Robert Harlan",1,10,0,0.2631579,1,4,0,1,0,1953
"Higginbotham, Patrick E.",2,5,2,0.27272728,1,10,1,0,0,1938
"Hill, James C.",2,11,0,0.5,NA,NA,1,2,0,NA
"Holloway, William",2,10,1,0.23076923,1,10,0,1,0,1923
"Howard, Jeffrey",2,1,0,0,NA,NA,1,2,0,NA
"Hug, Procter R.",3,9,2,0.42857143,1,4,0,1,0,1931
"Hull,  Frank",2,11,1,1,NA,NA,0,1,0,NA
"Jacobs, Dennis G.",0,2,0,0.5625,1,5,1,0,0,1944
"Jones, Edith H.",3,5,0,0.22222222,1,7,1,3,1,1949
"Kanne, Michael S.",2,7,2,0.3125,1,4,1,0,0,1938
"Katzmann, Robert",0,2,0,0.16666667,NA,NA,0,0,0,NA
"Kearse, Amalya Lyle",0,2,0,0.66666669,2,NA,0,0,1,1937
"Keith, Damon J.",3,6,3,0.5,2,3,0,0,0,1922
"Kennedy, Cornelia Groefsema",1,6,0,0.21052632,1,4,0,1,1,1923
"King, Carolyn Dineen",3,5,0,0.2857143,NA,NA,0,3,1,NA
"Kleinfeld, Andrew J.",3,9,1,0,1,5,1,2,0,1945
"Kozinski, Alex",3,9,0,0.16666667,1,5,1,3,0,1950
"Kravitch, Phyllis A.",0,5,0,0.5714286,1,5,0,0,1,1920
"Leval, Pierre Nelson",1,2,1,0.58333331,1,4,0,0,0,1936
"Lewis, Timothy K.",2,3,1,1,NA,NA,1,1,0,NA
"Lipez, Kermit",2,1,2,0.5,NA,NA,0,0,0,NA
"Loken, James B.",2,8,2,0.28260869,1,8,1,0,0,1940
"Lucero, Carlos",1,10,1,0.35294119,3,4,0,0,0,1940
"Luttig, J. Michael",2,4,1,0.30769232,1,NA,1,1,0,1954
"Lynch, Sandra",1,1,0,0.41176471,1,4,0,1,1,1946
"Magill, Frank J.",1,8,0,0.20833333,1,4,1,1,0,1927
"Manion, Daniel A.",0,7,0,0.19512194,1,4,1,0,0,1942
"Marcus, Stanley",2,11,1,0.625,NA,NA,1,1,0,NA
"McKee, Theodore Alexander",2,3,2,0.5714286,2,99,0,0,0,1947
"McKeown, M. Margaret",0,9,0,0,NA,NA,0,0,1,NA
"McMillian, Theodore",2,8,2,0.43589744,2,4,0,0,0,1919
"McWilliams, Robert H.",1,10,0,0.38461539,1,2,1,1,0,1916
"Melloy, Michael",3,8,3,0.5,NA,NA,1,0,0,NA
"Merritt, Gilbert S.",3,6,1,0.58823532,1,2,0,2,0,1936
"Michael, M. Blane",1,4,1,0.61538464,1,8,0,0,0,1943
"Moore, Karen",3,6,1,0.5,1,1,0,2,1,1948
"Motz, Diana Gribbon",2,4,1,0.5,1,4,0,1,1,1943
"Murnaghan, Francis D.",3,4,2,0.71428573,1,4,0,1,0,1920
"Murphy, Diana E.",2,8,0,0.58620691,1,4,0,2,1,1934
"Murphy, Michael",2,10,1,0.54166669,1,4,0,1,0,1947
"Nelson, David A.",3,6,1,0.25,1,9,1,2,0,1932
"Nelson, Dorothy Wright",2,9,1,0.66666669,1,16,0,1,1,1928
"Newman, Jon O.",3,2,1,0.33333334,1,5,0,2,0,1932
"Niemeyer, Paul V.",3,4,0,0.13333334,1,2,1,3,0,1941
"Noonan, John T.",3,9,2,0.2857143,1,4,1,1,0,1926
"Norris, Alan E.",2,6,1,0.18181819,1,10,1,1,0,1935
"Nygaard, Richard L.",0,3,0,1,1,7,1,0,0,1940
"Oakes, James L.",3,2,2,0.60000002,1,1,1,1,0,1924
"Paez, Richard",2,9,1,0.66666669,NA,NA,0,1,0,NA
"Parker, Fred Irving",2,2,0,0.46153846,NA,NA,0,2,0,NA
"Parker, Robert Manley",2,5,2,0.38461539,1,8,0,0,0,1937
"Pooler, Rosemary",2,2,1,0.60000002,NA,NA,0,1,1,NA
"Porfilio, John",3,10,1,0.21052632,NA,NA,1,2,0,NA
"Posner, Richard A.",2,7,0,0.068965517,1,5,1,2,0,1939
"Pregerson, Harry",2,9,1,1,1,5,0,1,0,1923
"Randolph, A. Raymond",2,12,1,0.40000001,1,4,1,1,0,1943
"Reinhardt, Stephen R.",3,9,1,0.92307693,1,5,0,2,0,1931
"Rendell, Marjorie",1,3,0,0.14285715,NA,NA,0,1,1,NA
"Riley, William",3,8,1,0.66666669,NA,NA,1,2,0,NA
"Ripple, Kenneth F.",3,7,3,0.30303031,1,4,1,0,0,1943
"Rogers, Judith Ann Wilson",3,12,2,0.42857143,2,2,0,1,1,1939
"Roney, Paul H.",3,5,1,0.125,1,7,1,2,0,1921
"Rosenn, Max",2,3,0,0.33333334,1,5,1,2,0,1910
"Roth, Jane R.",2,3,1,0.40000001,1,2,1,1,1,1935
"Rovner, Ilana",1,7,0,0.34482759,1,5,1,1,1,1938
"Rymer, Pamela A.",0,9,0,0.5,1,7,1,0,1,1941
"Sack, Robert",0,2,0,0.25,NA,NA,0,0,0,NA
"Schroeder, Mary Murphy",2,9,2,0.66666669,1,NA,0,0,1,1940
"Scirica, Anthony J.",0,3,0,0.25,1,4,1,0,0,1940
"Selya, Bruce M.",2,1,2,0.58333331,1,5,1,0,0,1934
"Sentelle, David B.",3,12,2,0.69230771,1,3,1,1,0,1943
"Silberman, Laurence H.",3,12,2,1,1,5,1,1,0,1935
"Siler, Eugene E., Jr.",2,6,0,0.13333334,1,3,1,2,0,1936
"Silverman, Barry",1,9,1,0.25,NA,NA,0,0,0,NA
"Sloviter, Dolores K.",1,3,1,1,1,5,0,0,1,1932
"Smith, Jerry",2,5,1,0.53846157,1,10,1,1,0,1946
"Sotomayor, Sonia",0,2,0,0.72727275,NA,NA,0,0,1,NA
"Stapleton, Walter K.",3,3,1,0.25,1,3,1,2,0,1934
"Tallman, Richard",0,9,0,0.33333334,NA,NA,0,0,0,NA
"Tashima, Atsushi",3,9,1,0.55555558,4,7,0,2,0,1934
"Thomas, Sidney",2,9,0,0.80000001,NA,NA,0,2,0,NA
"Tjoflat, Gerald B.",2,5,1,0.5,1,2,1,1,0,1929
"Traxler, William",2,4,0,0.45454547,NA,NA,0,2,0,NA
"Trott, Stephen S.",2,9,2,0.33333334,1,8,1,0,0,1939
"Walker, John M., Jr.",1,2,1,0.30769232,1,2,1,0,0,1940
"Wardlaw, Kim",0,9,0,0.5714286,NA,NA,0,0,1,NA
"Weis, Joseph F.",3,3,2,0.66666669,1,4,1,1,0,1923
"Widener, Hiram Emory, Jr.",2,4,1,0.42857143,1,7,1,1,0,1923
"Wiggins, Charles E.",2,9,0,0.75,1,8,1,2,0,1927
"Wilkins, William W.",3,4,2,0.36363637,1,3,1,1,0,1942
"Wilkinson, J. Harvie, III",2,4,1,0.35714287,1,2,1,1,0,1944
"Williams, Ann",2,7,1,0.30769232,NA,NA,0,1,1,NA
"Wilson, Charles",2,11,2,0.33333334,NA,NA,0,0,0,NA
"Wisdom, John",3,5,2,0,1,2,1,1,0,1905
"Wollman, Roger L.",3,8,0,0.34482759,1,21,1,3,0,1934
"Wood, Diane",3,7,2,0.33333334,1,99,0,1,1,1950
"Wood, Harlington, Jr.",1,7,1,0.40000001,1,8,1,0,0,1920
"Wright, Eugene A.",2,9,1,1,1,2,1,1,0,1913